Тип	№	Транскрипция	Заголовок	Таймкод	Источник	Статус	Ссылка	Полный материал
рилс	1	U (Kant 1 U.txt)	Нравственность без гарантий	01:14–03:07	Kant1-content-shortlist.md	идея		"Формат: 50–60 сек

Крючок на обложку: Можно ли быть нравственным без гарантий?

Титры (на экран, короткими фразами):
1. Мы умеем говорить о добре.
2. Но где гарантии?
3. Что добродетель приведет к результату?
4. В жизни это не технология.
5. Делать добро — без гарантии успеха?
6. Отсюда и вопрос о надежде.

Описание к ролику:
В философии Канта вопрос «на что я могу надеяться?» начинается не с оптимизма, а с разрыва между усилием и гарантией результата.

CTA:
Полный разбор по Канту, Камю и Дойчу — в квартальном паке ФКЧ.

Хэштеги:
#философия #Кант #надежда #этика #мышление #ФКЧ #philosophy

Единый мост к паку (в конец описания/поста): «Это фрагмент из живых чтений. Полный разбор сезона «На что я могу надеяться?» — в квартальном паке ФКЧ: текст, карты понятий и связная линия аргументов.»"
рилс	2	U (Kant 1 U.txt)	Надежда: опора или ловушка	02:45–03:07 + 17:27–18:50	Kant1-content-shortlist.md	идея		"Формат: 45–60 сек

Крючок на обложку: Надежда спасает или тревожит?

Титры:
1. Надежда может поддерживать.
2. Но может и делать жизнь тревожной.
3. Страх и надежда — пара?
4. Это объективно или манипуляция?
5. Разбираем без простых ответов.

Описание:
В обсуждении всплыло жесткое различение: надежда как ресурс действия и надежда как зависимость от страха.

CTA:
В паке ФКЧ — карта различений: страх, надежда, невозмутимость.

Хэштеги:
#надежда #страх #философия #Кант #критическоемышление #ФКЧ

Единый мост к паку (в конец описания/поста): «Это фрагмент из живых чтений. Полный разбор сезона «На что я могу надеяться?» — в квартальном паке ФКЧ: текст, карты понятий и связная линия аргументов.»"
рилс	3	U (Kant 1 U.txt)	Спор о добре и зле в истории	14:08–15:08	Kant1-content-shortlist.md	идея		"Формат: 45–55 сек

Крючок на обложку: Только зло ведет к концу истории?

Титры:
1. Ведет ли к финалу только зло?
2. А если и добро, и зло вместе?
3. Мы читаем позицию, не догму.
4. Где тут текст, а где наши добавления?

Описание:
Фрагмент, где участники спорят не «кто прав», а «что реально следует из прочитанного».

CTA:
Полная схема аргументов — в квартальном паке ФКЧ.

Хэштеги:
#Кант #доброизло #история #философскийклуб #ФКЧ

Единый мост к паку (в конец описания/поста): «Это фрагмент из живых чтений. Полный разбор сезона «На что я могу надеяться?» — в квартальном паке ФКЧ: текст, карты понятий и связная линия аргументов.»"
рилс	4	U (Kant 1 U.txt)	Как поставить надежду в карту понятий	50:49–53:12	Kant1-content-shortlist.md	идея		"Формат: 50–60 сек

Крючок на обложку: Куда в схеме поставить «надежду»?

Титры:
1. Хотели еще надежду куда-то воткнуть?
2. Сделаем надежду центральным понятием.
3. Надежда на реализацию добра.
4. Между потенцией и реализацией — развитие.
5. Воспитание. Образование. Нравственность.

Описание:
Самый «фирменный» момент формата ФКЧ: из чтения абзаца рождается рабочая карта понятий.

CTA:
В паке ФКЧ — готовые карты и логика их сборки.

Хэштеги:
#картпонятий #Кант #образование #мышление #ФКЧ #философия

Единый мост к паку (в конец описания/поста): «Это фрагмент из живых чтений. Полный разбор сезона «На что я могу надеяться?» — в квартальном паке ФКЧ: текст, карты понятий и связная линия аргументов.»"
рилс	5	U (Kant 1 U.txt)	Ответственность: человек или обстоятельства	01:23:01–01:24:25	Kant1-content-shortlist.md	идея		"Формат: 50–60 сек

Крючок на обложку: Человек виноват — или «так сложилось»?

Титры:
1. Он злой по природе?
2. Или его сделали обстоятельства?
3. Можно ли снять ответственность ссылкой на среду?
4. Согласие и несогласие в одном диалоге.
5. Вопрос остается открытым.

Описание:
Живой конфликт позиций по границе ответственности — без морализаторства и упрощений.

CTA:
Полный разбор этого узла — в квартальном паке ФКЧ.

Хэштеги:
#ответственность #этика #Кант #мораль #ФКЧ #философия

Единый мост к паку (в конец описания/поста): «Это фрагмент из живых чтений. Полный разбор сезона «На что я могу надеяться?» — в квартальном паке ФКЧ: текст, карты понятий и связная линия аргументов.»"
рилс	6	V (Kant 1 V.txt)	После «что делать» — «что дальше» и гарантии	02:40–04:52	Kant1V-content-shortlist.md	идея		"Формат: 50–60 сек

Крючок на обложку: Знаешь, что делать. А что дальше?

Титры:
1. Сезон про долг мы прошли.
2. Вопрос следом: а что дальше?
3. Какие гарантии на пути добра?
4. Не сорвусь ли в конце жизни?
5. Отсюда — на что я смею надеяться.
6. Надежда: и Сенека, и жизнь спорят.

Описание:
Кант связывает четыре вопроса в один — о человеке. Здесь — мост от нравственного долга к вопросу надежды без гарантий.

CTA:
Линия Кант → Камю → Дойч — в квартальном паке ФКЧ.

Хэштеги:
#Кант #надежда #этика #философскийклуб #ФКЧ #мышление

Единый мост к паку (в конец описания/поста): «Это фрагмент из живых чтений. Полный разбор сезона «На что я могу надеяться?» — в квартальном паке ФКЧ: текст, карты понятий и связная линия аргументов.»"
рилс	7	V (Kant 1 V.txt)	Пессимизм Канта: ирония или честное описание?	14:38–16:28	Kant1V-content-shortlist.md	идея		"Формат: 45–55 сек

Крючок на обложку: Кант издевается над нами или констатирует факт?

Титры:
1. Мир начинали с добра и золотого века.
2. Потом — страшный суд и конец.
3. Сарказм? Пренебрежение? Или просто фиксация мнений?
4. А что, если это неизбежно — и слёзы бессмысленны?
5. Старение как «условное зло»: недоволен, но не виню природу.

Описание:
Спор о тоне текста: не «оценка автора», а попытка понять, что именно Кант перечисляет как распространённые картины мира.

Примечание для монтажа:
В оригинале разговор разговорный; для публичных площадок титры лучше держать нейтральными (без грубой лексики из записи).

CTA:
Как мы отделяем тон текста от его логики — в материалах пака ФКЧ.

Хэштеги:
#Кант #религия #философия #критическоемышление #ФКЧ

Единый мост к паку (в конец описания/поста): «Это фрагмент из живых чтений. Полный разбор сезона «На что я могу надеяться?» — в квартальном паке ФКЧ: текст, карты понятий и связная линия аргументов.»"
рилс	8	V (Kant 1 V.txt)	Держит ли мир десять праведников?	32:29–34:10	Kant1V-content-shortlist.md	идея		"Формат: 50–60 сек

Крючок на обложку: Хватит ли нескольких добрых, чтобы тянуть цивилизацию?

Титры:
1. Один человек злой — насколько страдает цивилизация?
2. Поговорка: деревня на одном добряке.
3. Или: мир на десяти праведниках?
4. У Фихте — сословие, что двигает человечество.
5. Лучший дух победит — но не обязательно с тобой рядом.

Описание:
Мост от Канта к интуиции культуры: надежда коллективная vs ответственность каждого.

CTA:
Связка мнений, опыта и теории — в квартальном паке.

Хэштеги:
#этика #цивилизация #надежда #ФКЧ #философия

Единый мост к паку (в конец описания/поста): «Это фрагмент из живых чтений. Полный разбор сезона «На что я могу надеяться?» — в квартальном паке ФКЧ: текст, карты понятий и связная линия аргументов.»"
рилс	9	V (Kant 1 V.txt)	Необходимость поесть и язык добра и зла	38:04–39:18	Kant1V-content-shortlist.md	идея		"Формат: 45–55 сек

Крючок на обложку: Можно ли назвать «добром» то, без чего не выжить?

Титры:
1. Чтобы жить, мы уничтожаем живое.
2. Это добро, необходимость или дар?
3. В природе то же самое.
4. Граница: можно ли необходимость мерить добром и злом?
5. В двух абзацах Канта пока нет ответа — но вопрос законный.

Описание:
Типичный клубный ход: честный этический вопрос без спешки с ответом.

CTA:
Разбор таких границ — в паке ФКЧ (фрагмент + карта + синтез).

Хэштеги:
#этика #Кант #доброизло #ФКЧ #философскийклуб

Единый мост к паку (в конец описания/поста): «Это фрагмент из живых чтений. Полный разбор сезона «На что я могу надеяться?» — в квартальном паке ФКЧ: текст, карты понятий и связная линия аргументов.»"
рилс	10	V (Kant 1 V.txt)	Добро и зло: для Солнца их нет?	46:10–47:18	Kant1V-content-shortlist.md	идея		"Формат: 50–60 сек

Крючок на обложку: Почему о «природе» говорят на примере камней, а не зайцев?

Титры:
1. Добра и зла нет для Солнца и Луны.
2. Понятия для людей — чтобы выживать.
3. Три царства: неживое, живое, духовное.
4. Почему примеры только из неживой природы?
5. А для зайцев? Или оставляем только человека?

Описание:
Разбор методологии: как метафора «природы» сужает или расширяет моральный взгляд.

CTA:
Полная карта аргумента — в квартальном паке ФКЧ.

Хэштеги:
#Кант #природа #этика #мышление #ФКЧ

Единый мост к паку (в конец описания/поста): «Это фрагмент из живых чтений. Полный разбор сезона «На что я могу надеяться?» — в квартальном паке ФКЧ: текст, карты понятий и связная линия аргументов.»"
